Time,Frequency,dBFS
0.01161,4349.71,-inf
0.01161,4392.77,-inf
0.01161,4435.84,-inf
0.01161,4478.91,-inf
0.01161,4521.97,-inf
0.01161,4565.04,-inf
0.01161,4608.11,-inf
0.01161,4651.17,-inf
0.01161,4694.24,-inf
0.01161,4737.3,-inf
0.01161,4780.37,-inf
0.01161,4823.44,-inf
0.01161,4866.5,-inf
0.01161,4909.57,-inf
0.01161,4952.64,-inf
0.01161,4995.7,-inf
0.01161,5038.77,-inf
0.01161,5081.84,-inf
0.01161,5124.9,-inf
0.01161,5167.97,-inf
0.01161,5211.04,-inf
0.01161,5254.1,-inf
0.01161,5297.17,-inf
0.01161,5340.23,-inf
0.01161,5383.3,-inf
0.01161,5426.37,-inf
0.01161,5469.43,-inf
0.01161,5512.5,-inf
0.02322,0,-inf
0.02322,43.0664,-inf
0.02322,86.1328,-inf
0.02322,129.199,-inf
0.02322,172.266,-inf
0.02322,215.332,-inf
0.02322,258.398,-inf
0.02322,301.465,-inf
0.02322,344.531,-inf
0.02322,387.598,-inf
0.02322,430.664,-inf
0.02322,473.73,-inf
0.02322,516.797,-inf
0.02322,559.863,-inf
0.02322,602.93,-inf
0.02322,645.996,-inf
0.02322,689.062,-inf
0.02322,732.129,-inf
0.02322,775.195,-inf
0.02322,818.262,-inf
0.02322,861.328,-inf
0.02322,904.395,-inf
0.02322,947.461,-inf
0.02322,990.527,-inf
0.02322,1033.59,-inf
0.02322,1076.66,-inf
0.02322,1119.73,-inf
0.02322,1162.79,-inf
0.02322,1205.86,-inf
0.02322,1248.93,-inf
0.02322,1291.99,-inf
0.02322,1335.06,-inf
0.02322,1378.12,-inf
0.02322,1421.19,-inf
0.02322,1464.26,-inf
0.02322,1507.32,-inf
0.02322,1550.39,-inf
0.02322,1593.46,-inf
0.02322,1636.52,-inf
0.02322,1679.59,-inf
0.02322,1722.66,-inf
0.02322,1765.72,-inf
0.02322,1808.79,-inf
0.02322,1851.86,-inf
0.02322,1894.92,-inf
0.02322,1937.99,-inf
0.02322,1981.05,-inf
0.02322,2024.12,-inf
0.02322,2067.19,-inf
0.02322,2110.25,-inf
0.02322,2153.32,-inf
0.02322,2196.39,-inf
0.02322,2239.45,-inf
0.02322,2282.52,-inf
0.02322,2325.59,-inf
0.02322,2368.65,-inf
0.02322,2411.72,-inf
0.02322,2454.79,-inf
0.02322,2497.85,-inf
0.02322,2540.92,-inf
0.02322,2583.98,-inf
0.02322,2627.05,-inf
0.02322,2670.12,-inf
0.02322,2713.18,-inf
0.02322,2756.25,-inf
0.02322,2799.32,-inf
0.02322,2842.38,-inf
0.02322,2885.45,-inf
0.02322,2928.52,-inf
0.02322,2971.58,-inf
0.02322,3014.65,-inf
0.02322,3057.71,-inf
0.02322,3100.78,-inf
0.02322,3143.85,-inf
0.02322,3186.91,-inf
0.02322,3229.98,-inf
0.02322,3273.05,-inf
0.02322,3316.11,-inf
0.02322,3359.18,-inf
0.02322,3402.25,-inf
0.02322,3445.31,-inf
0.02322,3488.38,-inf
0.02322,3531.45,-inf
0.02322,3574.51,-inf
0.02322,3617.58,-inf
0.02322,3660.64,-inf
0.02322,3703.71,-inf
0.02322,3746.78,-inf
0.02322,3789.84,-inf
0.02322,3832.91,-inf
0.02322,3875.98,-inf
0.02322,3919.04,-inf
0.02322,3962.11,-inf
0.02322,4005.18,-inf
0.02322,4048.24,-inf
0.02322,4091.31,-inf
0.02322,4134.38,-inf
0.02322,4177.44,-inf
0.02322,4220.51,-inf
0.02322,4263.57,-inf
0.02322,4306.64,-inf
0.02322,4349.71,-inf
0.02322,4392.77,-inf
0.02322,4435.84,-inf
0.02322,4478.91,-inf
0.02322,4521.97,-inf
0.02322,4565.04,-inf
0.02322,4608.11,-inf
0.02322,4651.17,-inf
0.02322,4694.24,-inf
0.02322,4737.3,-inf
0.02322,4780.37,-inf
0.02322,4823.44,-inf
0.02322,4866.5,-inf
0.02322,4909.57,-inf
0.02322,4952.64,-inf
0.02322,4995.7,-inf
0.02322,5038.77,-inf
0.02322,5081.84,-inf
0.02322,5124.9,-inf
0.02322,5167.97,-inf
0.02322,5211.04,-inf
0.02322,5254.1,-inf
0.02322,5297.17,-inf
0.02322,5340.23,-inf
0.02322,5383.3,-inf
0.02322,5426.37,-inf
0.02322,5469.43,-inf
0.02322,5512.5,-inf
0.0348299,0,-inf
0.0348299,43.0664,-inf
0.0348299,86.1328,-inf
0.0348299,129.199,-inf
0.0348299,172.266,-inf
0.0348299,215.332,-inf
0.0348299,258.398,-inf
0.0348299,301.465,-inf
0.0348299,344.531,-inf
0.0348299,387.598,-inf
0.0348299,430.664,-inf
0.0348299,473.73,-inf
0.0348299,516.797,-inf
0.0348299,559.863,-inf
0.0348299,602.93,-inf
0.0348299,645.996,-inf
0.0348299,689.062,-inf
0.0348299,732.129,-inf
0.0348299,775.195,-inf
0.0348299,818.262,-inf
0.0348299,861.328,-inf
0.0348299,904.395,-inf
0.0348299,947.461,-inf
0.0348299,990.527,-inf
0.0348299,1033.59,-inf
0.0348299,1076.66,-inf
0.0348299,1119.73,-inf
0.0348299,1162.79,-inf
0.0348299,1205.86,-inf
0.0348299,1248.93,-inf
0.0348299,1291.99,-inf
0.0348299,1335.06,-inf
0.0348299,1378.12,-inf
0.0348299,1421.19,-inf
0.0348299,1464.26,-inf
0.0348299,1507.32,-inf
0.0348299,1550.39,-inf
0.0348299,1593.46,-inf
0.0348299,1636.52,-inf
0.0348299,1679.59,-inf
0.0348299,1722.66,-inf
0.0348299,1765.72,-inf
0.0348299,1808.79,-inf
0.0348299,1851.86,-inf
0.0348299,1894.92,-inf
0.0348299,1937.99,-inf
0.0348299,1981.05,-inf
0.0348299,2024.12,-inf
0.0348299,2067.19,-inf
0.0348299,2110.25,-inf
0.0348299,2153.32,-inf
0.0348299,2196.39,-inf
0.0348299,2239.45,-inf
0.0348299,2282.52,-inf
0.0348299,2325.59,-inf
0.0348299,2368.65,-inf
0.0348299,2411.72,-inf
0.0348299,2454.79,-inf
0.0348299,2497.85,-inf
0.0348299,2540.92,-inf
0.0348299,2583.98,-inf
0.0348299,2627.05,-inf
0.0348299,2670.12,-inf
0.0348299,2713.18,-inf
0.0348299,2756.25,-inf
0.0348299,2799.32,-inf
0.0348299,2842.38,-inf
0.0348299,2885.45,-inf
0.0348299,2928.52,-inf
0.0348299,2971.58,-inf
0.0348299,3014.65,-inf
0.0348299,3057.71,-inf
0.0348299,3100.78,-inf
0.0348299,3143.85,-inf
0.0348299,3186.91,-inf
0.0348299,3229.98,-inf
0.0348299,3273.05,-inf
0.0348299,3316.11,-inf
0.0348299,3359.18,-inf
0.0348299,3402.25,-inf
0.0348299,3445.31,-inf
0.0348299,3488.38,-inf
0.0348299,3531.45,-inf
0.0348299,3574.51,-inf
0.0348299,3617.58,-inf
0.0348299,3660.64,-inf
0.0348299,3703.71,-inf
0.0348299,3746.78,-inf
0.0348299,3789.84,-inf
0.0348299,3832.91,-inf
0.0348299,3875.98,-inf
0.0348299,3919.04,-inf
0.0348299,3962.11,-inf
0.0348299,4005.18,-inf
0.0348299,4048.24,-inf
0.0348299,4091.31,-inf
0.0348299,4134.38,-inf
0.0348299,4177.44,-inf
0.0348299,4220.51,-inf
0.0348299,4263.57,-inf
0.0348299,4306.64,-inf
0.0348299,4349.71,-inf
0.0348299,4392.77,-inf
0.0348299,4435.84,-inf
0.0348299,4478.91,-inf
0.0348299,4521.97,-inf
0.0348299,4565.04,-inf
0.0348299,4608.11,-inf
0.0348299,4651.17,-inf
0.0348299,4694.24,-inf
0.0348299,4737.3,-inf
0.0348299,4780.37,-inf
0.0348299,4823.44,-inf
0.0348299,4866.5,-inf
0.0348299,4909.57,-inf
0.0348299,4952.64,-inf
0.0348299,4995.7,-inf
0.0348299,5038.77,-inf
0.0348299,5081.84,-inf
0.0348299,5124.9,-inf
0.0348299,5167.97,-inf
0.0348299,5211.04,-inf
0.0348299,5254.1,-inf
0.0348299,5297.17,-inf
0.0348299,5340.23,-inf
0.0348299,5383.3,-inf
0.0348299,5426.37,-inf
0.0348299,5469.43,-inf
0.0348299,5512.5,-inf
0.0464399,0,-inf
0.0464399,43.0664,-inf
0.0464399,86.1328,-inf
0.0464399,129.199,-inf
0.0464399,172.266,-inf
0.0464399,215.332,-inf
0.0464399,258.398,-inf
0.0464399,301.465,-inf
0.0464399,344.531,-inf
0.0464399,387.598,-inf
0.0464399,430.664,-inf
0.0464399,473.73,-inf
0.0464399,516.797,-inf
0.0464399,559.863,-inf
0.0464399,602.93,-inf
0.0464399,645.996,-inf
0.0464399,689.062,-inf
0.0464399,732.129,-inf
0.0464399,775.195,-inf
0.0464399,818.262,-inf
0.0464399,861.328,-inf
0.0464399,904.395,-inf
0.0464399,947.461,-inf
0.0464399,990.527,-inf
0.0464399,1033.59,-inf
0.0464399,1076.66,-inf
0.0464399,1119.73,-inf
0.0464399,1162.79,-inf
0.0464399,1205.86,-inf
0.0464399,1248.93,-inf
0.0464399,1291.99,-inf
0.0464399,1335.06,-inf
0.0464399,1378.12,-inf
0.0464399,1421.19,-inf
0.0464399,1464.26,-inf
0.0464399,1507.32,-inf
0.0464399,1550.39,-inf
0.0464399,1593.46,-inf
0.0464399,1636.52,-inf
0.0464399,1679.59,-inf
0.0464399,1722.66,-inf
0.0464399,1765.72,-inf
0.0464399,1808.79,-inf
0.0464399,1851.86,-inf
0.0464399,1894.92,-inf
0.0464399,1937.99,-inf
0.0464399,1981.05,-inf
0.0464399,2024.12,-inf
0.0464399,2067.19,-inf
0.0464399,2110.25,-inf
0.0464399,2153.32,-inf
0.0464399,2196.39,-inf
0.0464399,2239.45,-inf
0.0464399,2282.52,-inf
0.0464399,2325.59,-inf
0.0464399,2368.65,-inf
0.0464399,2411.72,-inf
0.0464399,2454.79,-inf
0.0464399,2497.85,-inf
0.0464399,2540.92,-inf
0.0464399,2583.98,-inf
0.0464399,2627.05,-inf
0.0464399,2670.12,-inf
0.0464399,2713.18,-inf
0.0464399,2756.25,-inf
0.0464399,2799.32,-inf
0.0464399,2842.38,-inf
0.0464399,2885.45,-inf
0.0464399,2928.52,-inf
0.0464399,2971.58,-inf
0.0464399,3014.65,-inf
0.0464399,3057.71,-inf
0.0464399,3100.78,-inf
0.0464399,3143.85,-inf
0.0464399,3186.91,-inf
0.0464399,3229.98,-inf
0.0464399,3273.05,-inf
0.0464399,3316.11,-inf
0.0464399,3359.18,-inf
0.0464399,3402.25,-inf
0.0464399,3445.31,-inf
0.0464399,3488.38,-inf
0.0464399,3531.45,-inf
0.0464399,3574.51,-inf
0.0464399,3617.58,-inf
0.0464399,3660.64,-inf
0.0464399,3703.71,-inf
0.0464399,3746.78,-inf
0.0464399,3789.84,-inf
0.0464399,3832.91,-inf
0.0464399,3875.98,-inf
0.0464399,3919.04,-inf
0.0464399,3962.11,-inf
0.0464399,4005.18,-inf
0.0464399,4048.24,-inf
0.0464399,4091.31,-inf
